"GEO_ID","id"
"S2506_C01_059E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more"
"S2506_C01_059M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more"
"S2506_C01_060E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income"
"S2506_C01_060M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income"
"S2506_C01_061E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Less than $800"
"S2506_C01_061M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Less than $800"
"S2506_C01_062E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$800 to $1,499"
"S2506_C01_062M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$800 to $1,499"
"S2506_C01_063E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$1,500 or more"
"S2506_C01_063M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!$1,500 or more"
"S2506_C01_064E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!No real estate taxes paid"
"S2506_C01_064M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!No real estate taxes paid"
"S2506_C01_065E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Median (dollars)"
"S2506_C01_065M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!REAL ESTATE TAXES!!Median (dollars)"
"S2506_C02_001E","Estimate!!Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage"
"S2506_C02_001M","Margin of Error!!Percent owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage"
"S2506_C02_002E","Estimate!!Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!Less than $50,000"
"S2506_C02_002M","Margin of Error!!Percent owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!Less than $50,000"
"S2506_C02_003E","Estimate!!Percent owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$50,000 to $99,999"
