GEOID,gentrified,year_gentrified
51710000500,1,2012
51710006501,1,2012
51710005800,1,2012
51710002600,1,2012
51710002900,1,2012
51710003300,1,2017
51710004400,1,2012
51710004700,1,2012
51710005000,1,2012
